GPU	Run	Measurement	Duration	Speedup
TitanX Maxwell	1	sequential	0.0500565	1.0
TitanX Maxwell	1	kernel	0.00238589	20.980221217239688
TitanX Maxwell	1	memory	0.0079492	6.2970487596236095
TitanX Maxwell	1	parallel	0.01033509	4.84335404916648
TitanX Maxwell	2	sequential	0.046141	1.0
TitanX Maxwell	2	kernel	0.00238332	19.35996844737593
TitanX Maxwell	2	memory	0.00785642	5.8730312279638826
TitanX Maxwell	2	parallel	0.010239739999999999	4.506071443220239
TitanX Maxwell	3	sequential	0.0441498	1.0
TitanX Maxwell	3	kernel	0.00227616	19.39661535217208
TitanX Maxwell	3	memory	0.00750274	5.88449019958042
TitanX Maxwell	3	parallel	0.0097789	4.5148022783748685
TitanX Maxwell	4	sequential	0.0461917	1.0
TitanX Maxwell	4	kernel	0.00238532	19.364990860765015
TitanX Maxwell	4	memory	0.00792631	5.82764237078792
TitanX Maxwell	4	parallel	0.01031163	4.479573064588237
TitanX Maxwell	5	sequential	0.0462196	1.0
TitanX Maxwell	5	kernel	0.00238317	19.394168271671766
TitanX Maxwell	5	memory	0.00788845	5.859148501923698
TitanX Maxwell	5	parallel	0.01027162	4.499738113364786
TitanX Maxwell	6	sequential	0.0462386	1.0
TitanX Maxwell	6	kernel	0.0023824	19.408411685695096
TitanX Maxwell	6	memory	0.00790782	5.847199354562952
TitanX Maxwell	6	parallel	0.01029022	4.493451063242574
TitanX Maxwell	7	sequential	0.0460941	1.0
TitanX Maxwell	7	kernel	0.00238316	19.34158847916212
TitanX Maxwell	7	memory	0.00790843	5.828476701443902
TitanX Maxwell	7	parallel	0.01029159	4.478812311800217
TitanX Maxwell	8	sequential	0.0461902	1.0
TitanX Maxwell	8	kernel	0.0023839	19.37589663995973
TitanX Maxwell	8	memory	0.00792783	5.8263358321255625
TitanX Maxwell	8	parallel	0.01031173	4.4793841576534685
TitanX Maxwell	9	sequential	0.0461514	1.0
TitanX Maxwell	9	kernel	0.00238712	19.33350648480177
TitanX Maxwell	9	memory	0.00790356	5.839317978227533
TitanX Maxwell	9	parallel	0.01029068	4.484776516226333
TitanX Maxwell	10	sequential	0.0462033	1.0
TitanX Maxwell	10	kernel	0.00238563	19.367336929867584
TitanX Maxwell	10	memory	0.00788883	5.856800057803249
TitanX Maxwell	10	parallel	0.01027446	4.496907866690805
TitanX Pascal	1	sequential	0.0761061	1.0
TitanX Pascal	1	kernel	0.00155967	48.79628382927157
TitanX Pascal	1	memory	0.00773507	9.839096478764898
TitanX Pascal	1	parallel	0.00929474	8.1880827220557
TitanX Pascal	2	sequential	0.0465254	1.0
TitanX Pascal	2	kernel	0.00155493	29.921218318509517
TitanX Pascal	2	memory	0.00791571	5.877602893486498
TitanX Pascal	2	parallel	0.009470639999999999	4.912593024336266
TitanX Pascal	3	sequential	0.0695929	1.0
TitanX Pascal	3	kernel	0.00145784	47.73699445755364
TitanX Pascal	3	memory	0.00715087	9.732088543072381
TitanX Pascal	3	parallel	0.00860871	8.084010264023297
TitanX Pascal	4	sequential	0.05748	1.0
TitanX Pascal	4	kernel	0.00156067	36.83033568915915
TitanX Pascal	4	memory	0.00782522	7.345480382660168
TitanX Pascal	4	parallel	0.009385890000000001	6.124086261398759
TitanX Pascal	5	sequential	0.0757355	1.0
TitanX Pascal	5	kernel	0.00155999	48.54870864556824
TitanX Pascal	5	memory	0.00813227	9.312959358211176
TitanX Pascal	5	parallel	0.009692260000000001	7.814018608662994
TitanX Pascal	6	sequential	0.057404	1.0
TitanX Pascal	6	kernel	0.00144808	39.641456273134075
TitanX Pascal	6	memory	0.00724727	7.920775685189043
TitanX Pascal	6	parallel	0.008695350000000001	6.601689408706951
TitanX Pascal	7	sequential	0.0758671	1.0
TitanX Pascal	7	kernel	0.00156256	48.55307956174484
TitanX Pascal	7	memory	0.00758497	10.002294010391605
TitanX Pascal	7	parallel	0.00914753	8.293725191390465
TitanX Pascal	8	sequential	0.0741466	1.0
TitanX Pascal	8	kernel	0.00156078	47.50611873550404
TitanX Pascal	8	memory	0.0120908	6.132480894564462
TitanX Pascal	8	parallel	0.01365158	5.43135666347778
TitanX Pascal	9	sequential	0.0434409	1.0
TitanX Pascal	9	kernel	0.00143712	30.227747160988642
